# n=70 140-point construction embedded in 71x71, 0-indexed
# row column-1 column-2
0 35 53
1 21 51
2 38 39
3 26 28
4 46 63
5 13 47
6 4 10
7 26 38
8 9 15
9 21 61
10 32 63
11 37 54
12 17 20
13 35 64
14 44 45
15 11 61
16 0 40
17 50 57
18 1 44
19 17 47
20 40 57
21 60 68
22 5 19
23 4 36
24 14 30
25 14 18
26 62 66
27 36 41
28 27 66
29 16 20
30 2 45
31 2 7
32 11 59
33 23 27
34 0 13
35 56 69
36 42 46
37 10 58
38 62 67
39 24 67
40 49 53
41 3 42
42 28 33
43 3 7
44 51 55
45 39 55
46 33 65
47 50 64
48 1 9
49 12 29
50 22 52
51 25 68
52 12 19
53 29 69
54 8 58
55 24 25
56 5 34
57 49 52
58 15 32
59 6 37
60 8 48
61 54 60
62 31 43
63 59 65
64 22 56
65 6 23
66 41 43
67 30 31
68 18 48
69 16 34
